year,make,model,transmission,color,interior,sellingprice,saledate
2015,Kia,Sorento,automatic,white,black,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,white,beige,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,BMW,3 Series,automatic,gray,black,30000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,S60,automatic,white,black,27750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,automatic,gray,black,67000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,automatic,gray,black,10900,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,automatic,black,black,65000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,black,black,9800,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Audi,A4,automatic,white,black,32250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,red,black,17500,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2014,Audi,A6,automatic,black,black,49750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Optima,automatic,red,tan,17700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,automatic,white,beige,12000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,silver,black,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,blue,black,10600,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Nissan,Altima,automatic,black,black,14100,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2014,Audi,Q5,automatic,white,black,40000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,black,black,17000,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,BMW,6 Series,automatic,black,black,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Impala,automatic,silver,black,7200,Tue Jul 07 2015 09:30:00 GMT-0700 (PDT)
2014,BMW,5 Series,automatic,black,black,30000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,black,black,14700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Audi,A3,automatic,gray,black,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,automatic,black,black,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,automatic,silver,gray,8500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,XC70,automatic,brown,brown,32500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,XC70,automatic,beige,beige,32500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,BMW,X5,automatic,gray,black,34000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,gray,black,19500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,gray,black,11500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2014,Audi,SQ5,automatic,white,black,47500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,red,black,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Audi,S5,automatic,black,black,44500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,gray,black,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Suburban,automatic,black,black,59900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,automatic,black,black,64250,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
2014,BMW,3 Series,automatic,white,black,27500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Cadillac,ELR,automatic,gray,black,44000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,automatic,silver,gray,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,6 Series,automatic,white,black,65000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,V60,automatic,white,beige,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,X6,automatic,white,black,51700,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,automatic,black,gray,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,silver,black,13000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2014,Acura,ILX,automatic,gray,black,21250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,silver,black,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,automatic,silver,black,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,automatic,gray,black,11600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,automatic,white,black,66100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,automatic,black,black,11500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2015,Kia,K900,automatic,blue,black,40000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,silver,gray,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Malibu,automatic,silver,black,9800,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
2015,Lexus,RX 350,automatic,white,black,38400,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,white,black,19300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,automatic,gray,black,77250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,K900,automatic,white,gray,41000,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2015,Audi,A3,automatic,white,black,17300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2015,Nissan,Versa,manual,purple,black,11000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,black,black,20600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,automatic,silver,gray,10500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,white,black,21250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,gray,black,19600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Audi,A3,automatic,gray,black,25750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,automatic,black,black,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2015,Nissan,Versa Note,automatic,red,black,9000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2014,Audi,A8,automatic,black,black,50000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2014,BMW,X1,automatic,white,black,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,,automatic,black,black,66000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,red,gray,13600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,V60,automatic,silver,black,28000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,black,black,13000,Tue Jan 06 2015 13:00:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,automatic,white,black,58000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,silver,black,22250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,white,black,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Buick,Enclave,automatic,gray,black,24100,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,automatic,white,black,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,M5,automatic,white,black,65801,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Audi,TTS,automatic,silver,black,34250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,automatic,red,gray,10600,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
2014,BMW,4 Series,automatic,white,black,39750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,silver,black,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,black,black,13700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,blue,black,13200,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,gray,gray,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,automatic,blue,gray,10000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,automatic,silver,gray,13200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Acura,MDX,automatic,white,gray,41500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,automatic,white,black,12000,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2014,BMW,6 Series,automatic,silver,black,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,silver,black,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,automatic,black,black,30250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,silver,black,13600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,burgundy,beige,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,red,black,3300,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,V60,automatic,white,beige,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,manual,white,black,18500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,automatic,gray,black,9500,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,automatic,blue,gray,5800,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2014,BMW,5 Series,automatic,white,black,46500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series,automatic,white,black,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,white,black,21750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Cadillac,SRX,automatic,white,black,30000,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2014,BMW,X5,automatic,white,black,57250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,automatic,silver,gray,9000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,automatic,white,black,30000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,burgundy,black,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,purple,black,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Acura,ILX,automatic,silver,gray,20400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,automatic,gray,black,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,automatic,white,beige,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,automatic,black,black,10250,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,automatic,gray,brown,12800,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,automatic,white,gray,6600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,automatic,white,black,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,black,black,27250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,white,black,22500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,automatic,black,black,26750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,automatic,black,beige,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,blue,black,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,white,black,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,FX,automatic,black,black,32000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,blue,black,21750,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Santa Fe,automatic,white,gray,27000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Genesis,automatic,gray,black,27400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Equus,automatic,gray,black,25000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,automatic,red,beige,10700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Santa Fe,automatic,white,brown,30800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,automatic,silver,gray,11000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,automatic,gray,black,26250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,automatic,silver,gray,8800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,white,gray,23250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,automatic,white,black,27000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,automatic,silver,gray,11500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,manual,white,beige,12300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata,automatic,blue,gray,11400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,automatic,black,beige,11750,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,automatic,silver,gray,16500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,black,black,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,automatic,white,gray,18800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Santa Fe,automatic,gray,gray,19200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,gray,black,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,gray,gray,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,silver,black,21000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,white,black,24750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,black,black,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
